,text,label,clean_teks
44,Kenapa harus pake mobil listrik Pertama bahan bakar fosil semakin menipis dan di masa depan mau gk mau pasti harus pake mobil listrik Kedua mobil listrik itu bener2 net zero emmision gk menghasilkan CO2 samsek Gila keren gk tuh,Positive,pakai mobil listrik bahan bakar fosil tip pakai mobil listrik mobil listrik bener net zero emmision hasil cowok samsek gila keren tuh
45,Programnya nyata dan konkrit Ga banyak omong tp langsung praktek dan sat set Setelah ngasih contoh melalui penggunaan mobil dinas Bupati pake mobil listrik kini ASN di Sumenep pake motor listrik Cak Fauzi emang top,Positive,program nyata konkrit omong langsung praktek set contoh guna mobil dinas bupati pakai mobil listrik asn sumenep pakai motor listrik cak fauzi emang top
46,Nah ya kan hahaha trus tetap di ganti juga ga masalah ya kan,Positive,ya ganti ya
47,Apadah org-org akhir ini Ngomongnya AI Energi Terbarukan Mobil Listrik inovasi teknologi dll Tokai Eh petani di desa ae alat kerjanya masi tradisional,Negative,apadah orgorg ngomongnya ai energi baru mobil listrik inovasi teknologi lain tokai eh tani desa ae alat kerja tradisional
48,Lah kok aneh banget rumah sama mobil malah dicicil Beban idup banget Mending buat rumah dulu + tabungan 5 tahun kedepan Sisanya buat pesta Pengalaman kebaya 12 juta cuma dipake 1x doang Ngenes rasanya kl diliat2 pen gua jual tukar tam,Negative,aneh banget rumah mobil cicil beban idup banget mending rumah tabung depan sisa pesta alam kebaya juta pakai x enas kl pen jual tukar tam
49,Otw ga khawatir rusak batre motor/mobil listrik,Positive,jalan khawatir rusak baterai motormobil listrik
50,Untung Mobil PLN sing gembok/ditilang balasnya matiin listrik kebayang kalau Mobil tinja ditilang terus tinja di lepehkan disekitar situ wow,Negative,untung mobil pln sing gembokditilang balas mati listrik bayang mobil tinja tilang tinja lepehkan sekitar situ wow
51,Kalo udah transisi energi gini pasti enak sih pake mobil listrik gak perlu ngantri isi bensin tinggal ngecas dirumah yaa,Positive,transisi energi enak sih pakai mobil listrik antri isi bensin tinggal ngecas rumah yaa
52,Gak kompak nih sama menko nya yg masih gencarin mobil listrik,Negative,kompak nih menko gencarin mobil listrik
53,Kalo aing punya mobil listrik mau sekuat apapun mobil itu ga akan di bawa ke yang banjir,Positive,mobil listrik kuat apa mobil bawa banjir
54,ng alun alun magelang wes ono sg gowo mobil listrik lho Penasaran ngecharge e ng ndi,Positive,ng alun alun magelang sg gowo mobil listrik lho penasaran ngecharge e ng
55,Hitungnya gini harga batere 45 umur batere 8 tahun Komponen body dan mekanik 55 Misal harga mobil listrik 800 jt 8 tahun kemudian mobil misalnya dijual harga berapa,Positive,hitung harga batere umur batere komponen body mekanik harga mobil listrik jt mobil jual harga
56,ngecharge mobil listrik lebih murah daripada bensin,Positive,ngecharge mobil listrik murah bensin
57,Namanya jg mobil listrik pasti mesin listrik lebih hening dan nyaris tak terdengar dibanding mesin dengan suara ledakan bensin dan berknalpot,Positive,nama mobil listrik mesin listrik hening dengar banding mesin suara ledak bensin knalpot
58,Liat aja ni besok orang2 kaya kalo udah beli mobil listrik pasti jadi si paling menyelamatkan lingkungan,Negative,lihat ni besok orang kaya beli mobil listrik si selamat lingkung
59,Mobil listrik seperti Toyota All New bZ4X memakai tenaga listrik untuk menggerakan mobil Mobil listrik tdk memerlukan BBM sehingga mobil tdk membuat polusi udara,Positive,mobil listrik toyota all new bzx pakai tenaga listrik gera mobil mobil listrik bbm mobil polusi udara
60,Abis nikah nyicil rumah nyicil mobil  MUATAMU cuk Abis nikah ngurus anak popok abis susu abis gas abis token listrik bunyi waktunya bayar air iuran RT arisan ibu dll,Negative,habis nikah nyicil rumah nyicil mobil muatamu cuk habis nikah ngurus anak popok habis susu habis gas habis token listrik bunyi bayar air iur rt arisan lain
61,mending pake mobil listrik ya bisa zerro emission ,Positive,mending pakai mobil listrik ya zerro emission
62,Iso kabeh bonus iso dadi montir teknisi listrik tukang ledeng tukang cuci steam seniman kuli bangunan ahli komputer isilop supir tukang beca babysitter pokok e kabeh iso Sing gak iso dadi supir bis karo supir truk wae Soale mobil e,Negative,bonus dadi montir teknisi listrik tukang ledeng tukang cuci steam seniman kuli bangun ahli komputer isilop supir tukang beca babysitter pokok e sing dadi supir habis supir truk soale mobil e
63,Terus bensin sama toll lu ga dibayarin kantor lagi alamat pensiun mobil lu ya khi kemanamana lu ga mampu bawa karena bensin dan biaya tol nya mehong Ngirit lu khi beli mobil listrik kek ini jajan mulu di mekdi sama nangkring di sociolla,Negative,bensin toll dibayarin kantor alamat pensiun mobil ya khi kemanamana bawa bensin biaya tol mehong ngirit khi beli mobil listrik jajan mulu mekdi nangkring sociolla
64,Mas nya pasti dirumah punya mobil listrik atau motor listrik kan kan ngak sopan kalau dah buat tweet kayak gini ternyata masih pake kendaraan pengahasil pulutan juga,Negative,mas rumah mobil listrik motor listrik sopan tweet pakai kendara pengahasil pulut
65,ngarep subsidi  tunggu ya soalnya bentar lagi pemerintah mau jajan mobil listrik buat kendaraan dinas wkwk nonton yutub aja dulu ya nebeng tetring tetangga,Negative,harap subsidi tunggu ya bentar perintah jajan mobil listrik kendara dinas wkwk nonton yutub ya nebeng tetring tetangga
66,Jadi G20 kemarin pake mobil listrik pencitraan doang ,Negative,kemarin pakai mobil listrik citra
67,mending pake mobil listrik buat patroli pak ,Negative,mending pakai mobil listrik patroli
68,Masyarakat umum kudu utamakan transportasi publik Usahakan beli mobil listrik Jangan bakar sampah,Positive,masyarakat kudu utama transportasi publik usaha beli mobil listrik bakar sampah
69,Mobil Listrik Juga Tidak Ramah Lingkungan Ini Faktanya,Negative,mobil listrik ramah lingkung fakta
70,Kok bisa bodo gini itu motivasinya apa pak Ini ga apple to apple antara emisi karbon yg dikeluarkan listrik mobil dan pesawat jet pribadi,Negative,bodoh motivasi apple apple emisi karbon keluar listrik mobil pesawat jet pribadi
71,Kaget banget pake mobil listrik ga berisik,Positive,kaget banget pakai mobil listrik berisik
72,Juallah rongsokan pada tempatnyakalau udah rongsokan akan tetap rongsokan mustahil akan berubah mobil listrik,Negative,jual rongsok tempatnyakalau rongsok rongsok mustahil ubah mobil listrik
73,Mobil listrik turahan G20,Negative,mobil listrik turahan
74,Tak sabar menunggu mobil listrik segera beroperasi di negeri ini,Positive,sabar tunggu mobil listrik operasi negeri
75,Harga mobil listrik baru termurah saat ini dpt beli mobil bensin baru 2 biji,Negative,harga mobil listrik murah beli mobil bensin biji
76,Kalo udah transisi energi gini pasti enak sih  pake mobil listrik gak perlu ngantri isi bensin tinggal ngecas dirumah yaa dan cuman butuh Rp 850 ribu untuk 7700 VA,Positive,transisi energi enak sih pakai mobil listrik antri isi bensin tinggal ngecas rumah yaa butuh rupiah ribu va
77,Nih yang belum tau keuntungan menggunakan mobil listrik emang udah mantap banget,Positive,nih tau untung mobil listrik emang mantap banget
78,Makin mudah aja nih para pengguna mobil listrik di Indonesia kalau ada layanan kaya gini buruan ajukan penggunaan home charging ini biar kalian semakin cepat merasakan berbagai kemudahan dalam pengisian daya mobil listrik,Positive,mudah nih guna mobil listrik indonesia layan kaya buru aju guna home charging biar cepat rasa mudah isi daya mobil listrik
79,semoga ini semua dapat memberikan sebuah kemudahan yaa bagi para pengguna mobil listrik di negeri ini,Positive,moga mudah yaa guna mobil listrik negeri
80,gaperlu khawatir lagi nii guyss buat kalian para pengguna mobil listrik karna sekarang ada inovasi terbaru dari PLN ni yaitu home charging,Positive,khawatir nii guyss guna mobil listrik inovasi baru pln ni home charging
81,tuhh guyss ada home charging yang bisa memudahkan para pengguna mobil listrik,Positive,tuhh guyss home charging mudah guna mobil listrik
82,Pernah comment Logikanya aneh beli mobil listrik BMW kalo ga salah yg harganya 3M karna mamanya protes pakai Alphard boros karna bensin nya mahal  ga mashok blas logikanya,Negative,komen logika aneh beli mobil listrik bmw salah harga m mama protes pakai alphard boros bensin mahal mashok blas logika
83,bebas polusi emang merupakan sebuah keuntungan dari penggunaan mobil listrik,Positive,bebas polusi emang untung guna mobil listrik
84,bener bangett mobil listrik emang sama sekali ngga menimbulkan kebisingan lohh,Positive,bener bangett mobil listrik emang timbul bising lohh
85,Wah keren banget jadi pengen beli mobil listrik biar bisa menunjukkan gaya hidup yang lebih baik kedepannya,Positive,keren banget beli mobil listrik biar gaya hidup depan
86,Udah jelas kalo pake mobil listrik gak perlu antri isi bensin bisa ngecas di rumah juga dan yang utama itu pasti gak ada polusi loh,Positive,pakai mobil listrik antri isi bensin ngecas rumah utama polusi loh
87,Enak banget menurut saya kalo udah adanya layanan home charging PLN makin nyaman pake mobil listrik,Positive,enak banget layan home charging pln nyaman pakai mobil listrik
88,Nihh yang belum tau keuntungan menggunakan mobil listrik enak banget pokoknya kalo pake kendaraan listrik ini,Positive,nihh tau untung mobil listrik enak banget pokok pakai kendara listrik
89,beberapa keuntungan jika kita menggunakan mobil listrik ramah lingkungan dan yang pasti bisa hemat pengisian bahan bakar,Positive,untung mobil listrik ramah lingkung hemat isi bahan bakar
90,intinya mobil listrik itu lebih efisien nii guyss dibanding mobil yang pakai bensin karna ngga ngeluarin asap yang bisa mencemarkan lingkungan udara,Positive,inti mobil listrik efisien nii guyss banding mobil pakai bensin keluar asap cemar lingkung udara
91,Sebenernya base teknologi ini tuh udh ada dan d kembangkan sma engineer kita tpi pemutakhiran teknologinya sma kya teknologi mobil listrik pak Dahlan Iskan yg jalan ditempat dan terkesan di lupakan,Negative,sebenernya base teknologi tuh d kembang sma engineer mutakhir teknologi sma teknologi mobil listrik dahlan iskan jalan tempat kes lupa
92,Hari ini masih pusing sama BBM buat kendaraan Udah jamannya pakai mobil listrik kali banyak banget manfaat nya juga pakai mobil listrik yang pasti bakal lebih keren dan mantap lagi lah,Positive,pusing bbm kendara jaman pakai mobil listrik kali banget manfaat pakai mobil listrik keren mantap
93,Warga RI harus pakai mobil listrik donk,Positive,warga ri pakai mobil listrik
94,Pengen beli wuling mobil listrik utk menghemat emisi karbon dunia,Positive,beli wuling mobil listrik hemat emisi karbon dunia
95,Mobil Listrik Bukan Satu-satunya Opsi Kurangi Emisi,Negative,mobil listrik satusatunya opsi kurang emisi
96,"Emang mereka hanya cari nama biar harum jadi sejarah koar-koar, IKN yg ada hanya batu titik nol koar-koar, mobil nasional Esemka yg ada omong kosong koar-koar, ekonomi meroket produksi mobil listrik dll seakan akan negara ini maju dibawah mere",Negative,emang cari nama biar harum sejarah koarkoar ikn batu titik nol koarkoar mobil nasional esemka omong kosong koarkoar ekonomi roket produksi mobil listrik lain akan negara maju bawah mere
97,Semua orang sangat ketergantungan dengan internet Semua negara berambisi dengan smart city tanpa memikirkan hal seperti ini Mobil listrik Aktivitas serba internet Dll,Positive,orang gantung internet negara ambisi smart city pikir mobil listrik aktivitas serba internet lain
98,Abis pildun bandar judi pasti banyak yg beli mobil listrik,Negative,habis pildun bandar judi beli mobil listrik
99,Pen punya mobil listrik kalau dah giniteh,Positive,pen mobil listrik giniteh
100,Dah lah anying beli mobil listrik aja,Positive,anying beli mobil listrik
101,terus olahraga dia bisa banyak bgt cabang berenang basket sepeda nyetir mobil balap sepak bola/futsal dulu dia atlet tim sekolahnya pernah juara 2 nasional golf bowling voli ski  terus buat alat musik dia bisa main gitar listri,Positive,olahraga banget cabang renang basket sepeda nyetir mobil balap sepak bolafutsal atlet tim sekolah juara nasional golf bowling voli ski alat musik main gitar listri
102,kita gak butuh mobil listrik,Negative,butuh mobil listrik
103,UPUPIN  Vacuum Cleaner  Wireless Alat Penyedot Debu Mobil Listrik Penyedot Debu Portabel Penyedot debu mobil,Negative,upupin vacuum cleaner wireless alat sedot debu mobil listrik sedot debu portabel sedot debu mobil
104,Mobil listrik seperti Toyota All New bZ4X memakai tenaga listrik untuk menggerakan mobil Mobil listrik tidak memerlukan BBM sehingga mobil tidak membuat polusi udara Selain itu mobil listrik tidak  mengeluarkan suara bising lebih sunyi karena tenaga yang dipakainya,Positive,mobil listrik toyota all new bzx pakai tenaga listrik gera mobil mobil listrik bbm mobil polusi udara mobil listrik keluar suara bising sunyi tenaga pakai
105,kini presiden jokowi ajak australia untuk memproduksi baterai mobil listrik di indonesia top dah,Positive,presiden jokowi ajak australia produksi baterai mobil listrik indonesia top
106,Saatnya pindah ke listrik dr mobil listrik kompor listrik smp rokok elektrik,Negative,pindah listrik mobil listrik kompor listrik smp rokok elektrik
107,Rotary kembali digunakan di mobil dan ada di Mazda MX30 EV Mesin rotary dipakai biar jarak tempuh bisa lebih jauh dan optimalin lagi mobil listrik buatan Mazda Siapa nih yang excited,Positive,rotary mobil mazda mx ev mesin rotary pakai biar jarak tempuh optimalin mobil listrik buat mazda nih excited
108,Ya karena buat ngembaliin modal yang sudah keluar buat mobil listrik,Negative,ya ngembaliin modal mobil listrik
109,Pake mobil listrik yg bisa parkir sendiri kayanya enak tuh,Positive,pakai mobil listrik parkir kaya enak tuh
110,Udah jaman mobil listrik Masa masih mau pake mobil Doyok aja sih,Negative,jaman mobil listrik pakai mobil doyok sih
111,Membuat mobil listrik super roket super chip saja mas bisa bayangkn yg bisa dia lakukan dgn Twitter,Positive,mobil listrik super roket super chip mas bayangkn laku twitter
112,Akan dihuni transportasi mobil terbang mobil listrik kendaraan listrik dan kemewahan2 lainnya yg seakan2 seprti surga dunia masak nggak logis pak,Negative,huni transportasi mobil terbang mobil listrik kendara listrik mewah akan seprti surga dunia masak logis
113,Iya tetep lebih besar mobil daripada kendaraan umum Listrik di indonesia sendiri banyak dihasilkan oleh batu bara yang  menyebabkan udara banyak tercemar Kecuali indonesia udah pakai pembangkit listrik rendah emisi seperti geo,Negative,iya mobil kendara listrik indonesia hasil batu bara sebab udara cemar kecuali indonesia pakai bangkit listrik rendah emisi geo
114,kuncinya di yuk naik kendaraan umum bukan gmn kalau mobil listrik gmn kalau mobil terbang gmn kalau mobil batubara,Negative,kunci yuk kendara mobil listrik mobil terbang mobil batubara
115,Memiliki mobil listrik adalah sesuatu yang keren dan bisa mendongkrak gengsi sosial,Negative,milik mobil listrik keren dongkrak gengsi sosial
116,Tapi semua pertimbangan rasional itu luruh karena pengaruh FOMO,Negative,timbang rasional luruh pengaruh fomo
117,FOMO MOBIL LISTRIK,Negative,fomo mobil listrik
118,Siap2 yang punya PKH jadi prioritas lagi sudah dpt sembako BSU Sekolah gratis STB Gratis berobat gratis listrik gratis nanti dpt magic com gratis dan subsidi motor listrik Makanya sekarang di Dinsos pada antri daftar PKH,Positive,pkh prioritas sembako bsu sekolah gratis stb gratis obat gratis listrik gratis magic com gratis subsidi motor listrik dinsos antri daftar pkh
119,Emang keren apalagi pertama kali ngiler liat mobil listrik Tesla punya Canggih kayak mobil masa depan waktu gua masih bocah ,Positive,emang keren kali ngiler lihat mobil listrik tesla canggih mobil bocah
120,Itu blom ape2 lha gw dulu dah dmintain listrik smua jalan ditutup pesta rakyat katanya  boro2 mau ngluarin mobil buka pintu pager aja gak bisa,Negative,ape lha dmintain listrik jalan tutup pesta rakyat boro ngluarin mobil buka pintu pagar
121,Akan berkurang namun bisa saja malah akan bertambah dan juga ditambah dari limbah b3 yang dihasilkan dari mobil listrik untuk saat ini mobil listrik itu bukan sebuah solusi untuk menggantikan mobil berbahan bakar minyak/gas bumi,Negative,kurang tambah tambah limbah bb hasil mobil listrik mobil listrik solusi ganti mobil bahan bakar minyakgas bumi
122,Lalu emisi karbon yang dihasilkan dari pembangkit listrik ini juga pasti akan mengikuti jumlah pemakaian batu bara yang berada di skala besar,Negative,emisi karbon hasil bangkit listrik ikut pakai batu bara skala
123,Berbahan dasar batu bara karena jumlah mobil listrik yang banyak  otomatis dalam skala besar Indonesia harus memproduksi energi listrik yang besar pula karena bahan dasar pembangkit kita adalah batu bara yang mana pemakaian batu bara kita juga akan semakin banyak,Negative,bahan dasar batu bara mobil listrik otomatis skala indonesia produksi energi listrik bahan dasar bangkit batu bara pakai batu bara
124,Namun jikalau kita melihat dari sisi lain mobil listrik ini malah menghasilkan jumlah limbah B3 yang cukup banyak serta berbahaya yang berasal dari bateraibaterai yang digunakan sebagai sumber energi geraknya,Negative,sisi mobil listrik hasil limbah bb bahaya asal bateraibaterai sumber energi gerak
125,Ooowh Mungkin si melon mendengarkan aspirasi kita wingi kae say hahahahaa neng bulan meh dodolan mobil listrik juga po ya hahaha,Positive,ooowh si melon dengar aspirasi wing kae say hahahahaa neng meh dodol mobil listrik po ya
126,Bukan Sekedar Mobil Listrik  Nissan Leaf  Didukung Teknologi Nissan Intelligent Mobility,Positive,dar mobil listrik nissan leaf dukung teknologi nissan intelligent mobility
127,Mobil listrik 0 emisi apaan kalo listriknya masih pake batu bara,Negative,mobil listrik emisi listrik pakai batu bara
128,Nah selain mobil listrik yg gw coba motor listrik jg sama Itu bener2 senyap gak ada suara Melajunya berasa halus bgt bener2 ga ada getaran Enak bgt sih ,Positive,mobil listrik coba motor listrik bener senyap suara laju asa halus banget bener getar enak banget sih
129,Barusan pertama kalinya gw nyobain mobil n motor listrik punya temen dan itu enak bangeettt Suaranya senyap smooth n smart tech Canggihnya ga kaleng2 ,Positive,barusan kali nyobain mobil n motor listrik temen enak bangeettt suara senyap smooth n smart tech canggih kaleng
130,Kapan sih lo tau ttg mobil/motor listrik Klo gw yg suka bgt drakor pernah menghalu kapan Indonesia jg ada Ternyata skrg Indo jg ga mau kalah keren,Positive,sih tau ttg mobilmotor listrik suka banget drakor menghalu indonesia indonesia kalah keren
131,nanti kalo semua pake mobil listrik terus rumahnya mati listrik bisa jadi alesan buat wfh,Negative,pakai mobil listrik rumah mati listrik alesan wfh
132,Oh itu dia yg punya mobil listrik mantap pemerintah subsidi lagi,Negative,oh mobil listrik mantap perintah subsidi
133,Setuju sih dengan ini aplg Arab Saudi kekurangan teknologi dan bntr lg juga mobil listrik bakalan menggantikan mobil petrol,Positive,tuju sih aplg arab saudi kurang teknologi sebentar mobil listrik ganti mobil petrol
134,Sejatinya kendaraan listrik TIDAK HARUS DISUBSIDI jika mau mensubsidi subsidilah anak negeri dlm penemuan bgmn hidrogen bisa jadi BBM riil green energy spt,Negative,sejati kendara listrik subsidi subsidi subsidi anak negeri temu hidrogen bbm riil green energy
135,ni mobil meskipun berbasis listrik tapi plat bodinya tebel banget,Negative,ni mobil bas listrik plat bodi tebal banget
136,Saya sendiri ya kalo disuruh milih mobil biasa dengan mobil listrik udah jelas mobil listrik dong karena beberapa keunggulannya itu tadi,Positive,ya suruh milih mobil mobil listrik mobil listrik unggul
137,Kalau nanti era mobil listrik jgn lupa tetap gini juga ya Agar supaya strum nya mengalir sampai keempat ban dan ban serep,Negative,era mobil listrik lupa ya strum alir empat ban ban serep
138,Keren banget ini desainnya kalo diconvert jd mobil listrik bisa mangkin asik,Positive,keren banget desain diconvert mobil listrik mangkin asik
139,Yaa skrng isi bahan bakar mobil listrik dirumahmereka rata-rata cuma habis 500ribuan sebulanitu udh dibuat keliling kota sampe pusinkk,Positive,yaa isi bahan bakar mobil listrik dirumahmereka ratarata habis ribu sebulanitu keliling kota pusinkk
140,"Tapi emang siih review dri temen, gw yg udh punya mobil listrik bikin gw makin tertarik bat ganti",Positive,emang siih tinjau temen mobil listrik bikin tarik bat ganti
141,Mobil listrik juga keren banget dah gue pengen nyobain juga jadinyaa,Positive,mobil listrik keren banget nyobain jadinyaa
142,Habis nyobain mobil listrik moga aja punya besok yakkk,Positive,habis nyobain mobil listrik moga besok yakkk
143,Hahaha percuma dpt diskon utk pasang meteran baru khusus charge mobil listrik kalo persyaratannya ribet dan ruwet,Positive,diskon pasang meter khusus charge mobil listrik syarat ribet ruwet
